MUJ,1684,799,398,799,378,365,2,39,169,35
MAHE,7984,17887,1796,17887,14816,1337,8,195,145,134
JSS,9268,1175,513,1175,722,416,0,19,145,40
Sastra,43392,7250,4388,7250,6162,969,0,73,159,81
Shoolini,7984,845,326,845,755,32,4,45,161,63
